       MD      Carbon(%)    ASH(%)       H2O(%)       BUMO(Gpa)    SHMO(Gpa)    STRN(Gpa)    POIS         VELP(KM/S)   VELS(KM/S)   LLV(mV)
     8.7       900000       900000       900000       5.1148       1.1584       6.6594       0.3947       1.8382       0.7667         3026
    8.75       900000       900000       900000       5.1066       1.1422       6.6295       0.3959       1.8382        0.763         3021
     8.8       900000       900000       900000       5.3131        1.177       6.8825       0.3968       1.8762       0.7759         3023
    8.85       900000       900000       900000       5.6046       1.2433       7.2624       0.3967       1.9268       0.7972         3035
     8.9       900000       900000       900000       5.6561       1.2688       7.3478       0.3956       1.9342       0.8038         3037
    8.95       900000       900000       900000      10.3293       2.3584      13.4738       0.3939        2.611       1.0924         3046
       9       900000       900000       900000      10.1903       2.3649      13.3436       0.3923       2.5907       1.0907         3028
    9.05       900000       900000       900000      10.2525       2.3964      13.4477       0.3916       2.5974       1.0965         3032
     9.1       900000       900000       900000       6.3291       1.4789        8.301       0.3916       2.0408       0.8614         3038
    9.15       900000       900000       900000       5.6619       1.3202       7.4221       0.3918       1.9305       0.8142         3048
     9.2       900000       900000       900000        5.365       1.2459       7.0262       0.3922       1.8797       0.7915         3060
    9.25       900000       900000       900000       5.3202       1.2268        6.956       0.3929       1.8727       0.7865         3064
     9.3       900000       900000       900000       5.2159       1.1917       6.8048       0.3938       1.8553       0.7764         3041
    9.35       900000       900000       900000       5.3048       1.1954       6.8987       0.3952       1.8727       0.7795         3041
     9.4       900000       900000       900000       5.2721       1.1655       6.8261        0.397       1.8692       0.7724         3049
    9.45       900000       900000       900000       5.4442       1.1867       7.0264       0.3984       1.9011       0.7813         3066
     9.5       900000       900000       900000       5.4225       1.1801       6.9959       0.3985       1.8975       0.7793         3082
    9.55       900000       900000       900000       5.5811       1.2347       7.2274        0.397       1.9231       0.7949         3096
     9.6       900000       900000       900000       5.5904       1.2531       7.2612       0.3957       1.9231       0.7989         3095
    9.65       900000       900000       900000       7.3456       1.6672       9.5686       0.3945       2.2026       0.9194         3081
     9.7       900000       900000       900000       7.4175       1.6956       9.6784       0.3938       2.2124        0.926         3072
    9.75       900000       900000       900000      10.3462        2.393      13.5368       0.3926        2.611       1.0978         3064
     9.8       900000       900000       900000       8.6136       2.0107      11.2945       0.3917        2.381       1.0046         3052
    9.85       900000       900000       900000      10.2734       2.4405      13.5274       0.3899       2.5974       1.1033         3046
     9.9       900000       900000       900000       7.4007       1.7827       9.7777       0.3885       2.2026       0.9405         3039
    9.95       900000       900000       900000       6.5497       1.5993       8.6821       0.3871       2.0704       0.8886         3042
      10       900000       900000       900000      13.1381       3.2034      17.4093       0.3873       2.9326       1.2579         3039
   10.05       900000       900000       900000      36.7299       8.9953      48.7237       0.3868        4.902       2.1062         3050
    10.1       900000       900000       900000     128.7089      31.6281     170.8798       0.3864       9.1743        3.947         3058
   10.15       900000       900000       900000      25.6938        6.331      34.1352       0.3861       4.0984        1.765         3062
    10.2       900000       900000       900000      10.5268       2.5716      13.9556       0.3871       2.6247       1.1267         3056
   10.25       900000       900000       900000      10.6813       2.5835      14.1259       0.3881       2.6455       1.1314         3053
    10.3       900000       900000       900000      15.2663       3.6586      20.1444        0.389       3.1646       1.3486         3045
   10.35       900000       900000       900000      71.5238      17.1556      94.3979       0.3889       6.8493       2.9199         3050
    10.4       900000       900000       900000     256.8945      61.1424     338.4178       0.3897       12.987       5.5202         3057
   10.45       900000       900000       900000       900000       900000       900000       900000       900000       900000         3052
    10.5       900000       900000       900000       900000       900000       900000       900000       900000       900000         3049
   10.55       900000       900000       900000       900000       900000       900000       900000       900000       900000         3049
    10.6       900000       900000       900000      67.8298      16.4045      89.7025       0.3881       6.6667       2.8509         3042
   10.65       900000       900000       900000      30.1585       7.3169      39.9144       0.3878       4.4444       1.9029         3040
    10.7       900000       900000       900000      17.0898       4.1697      22.6494       0.3872       3.3445        1.435         3033
   10.75       900000       900000       900000      44.6214      10.8485      59.0861       0.3876       5.4054       2.3162         3025
    10.8       900000       900000       900000     285.9483      68.3052     377.0219       0.3894      13.6986       5.8307         3022
   10.85       900000       900000       900000       900000       900000       900000       900000       900000       900000         3031
    10.9       900000       900000       900000     263.2873       61.886      345.802        0.391      13.1579       5.5663         3055
   10.95       900000       900000       900000     263.1388      61.5736      345.237       0.3915      13.1579       5.5568         3067
      11       900000       900000       900000      64.8232      14.9756      84.7906       0.3927       6.5359       2.7468         3069
   11.05       900000       900000       900000      28.4065       6.5063      37.0816       0.3936        4.329       1.8133         3062
    11.1       900000       900000       900000      63.8811      14.5709      83.3091        0.394       6.4935       2.7157         3059
   11.15       900000       900000       900000     248.8483      56.4621     324.1311       0.3945      12.8205       5.3509         3064
    11.2       900000       900000       900000       900000       900000       900000       0.3948       900000       900000         3064
   11.25       900000       900000       900000       900000       900000       900000       0.3944       900000       900000         3044
    11.3       900000       900000       900000       900000       900000       900000        0.393       900000       900000         3032
   11.35       900000       900000       900000       900000       900000       900000       0.3921       900000       900000         3043
    11.4       900000       900000       900000       900000       900000       900000       0.3915       900000       900000         3048
   11.45       900000       900000       900000       900000       900000       900000       0.3899       900000       900000         3046
    11.5       900000       900000       900000       900000       900000       900000       0.3885       900000       900000         3045
   11.55       900000       900000       900000       900000       900000       900000       0.3874       900000       900000         3039
    11.6       900000       900000       900000       900000       900000       900000        0.386       900000       900000         3046
   11.65       900000       900000       900000       900000       900000       900000       0.3832       900000       900000         3046
    11.7       900000       900000       900000       900000       900000       900000       0.3811       900000       900000         3038
   11.75       900000       900000       900000       900000       900000       900000       0.3796       900000       900000         3024
    11.8       900000       900000       900000       900000       900000       900000       0.3782       900000       900000         3024
   11.85       900000       900000       900000       900000       900000       900000       0.3761       900000       900000         3022
    11.9       900000       900000       900000       900000       900000       900000       0.3751       900000       900000         3012
   11.95       900000       900000       900000       900000       900000       900000       0.3745       900000       900000         3004
      12       900000       900000       900000       900000       900000       900000       0.3738       900000       900000         3008
   12.05       900000       900000       900000       900000       900000       900000       0.3741       900000       900000         3006
    12.1       900000       900000       900000       900000       900000       900000       0.3753       900000       900000         3005
   12.15       900000       900000       900000       900000       900000       900000       0.3761       900000       900000         3014
    12.2       900000       900000       900000       900000       900000       900000       0.3769       900000       900000         3029
   12.25       900000       900000       900000       900000       900000       900000       0.3781       900000       900000         3038
    12.3       900000       900000       900000       900000       900000       900000       0.3797       900000       900000         3030
   12.35       900000       900000       900000       900000       900000       900000       0.3805       900000       900000         3015
    12.4       900000       900000       900000       900000       900000       900000       0.3807       900000       900000         3003
   12.45       900000       900000       900000       900000       900000       900000       0.3805       900000       900000         2990
    12.5       900000       900000       900000       900000       900000       900000       0.3794       900000       900000         2981
   12.55       900000       900000       900000       900000       900000       900000       0.3785       900000       900000         2983
    12.6       900000       900000       900000       900000       900000       900000       0.3771       900000       900000         2995
   12.65       900000       900000       900000       900000       900000       900000       0.3758       900000       900000         2995
    12.7       900000       900000       900000       900000       900000       900000       0.3736       900000       900000         2994
   12.75       900000       900000       900000       900000       900000       900000       0.3722       900000       900000         2988
    12.8       900000       900000       900000       900000       900000       900000       0.3719       900000       900000         2981
   12.85       900000       900000       900000       900000       900000       900000       0.3717       900000       900000         2985
    12.9       900000       900000       900000       900000       900000       900000       0.3701       900000       900000         2983
   12.95       900000       900000       900000       900000       900000       900000       0.3678       900000       900000         2976
      13       900000       900000       900000       900000       900000       900000       0.3665       900000       900000         2974
   13.05       900000       900000       900000       900000       900000       900000       0.3666       900000       900000         2972
    13.1       900000       900000       900000       900000       900000       900000       0.3667       900000       900000         2971
   13.15       900000       900000       900000       900000       900000       900000       0.3678       900000       900000         2978
    13.2       900000       900000       900000       900000       900000       900000       0.3681       900000       900000         2973
   13.25       900000       900000       900000       900000       900000       900000        0.367       900000       900000         2968
    13.3       900000       900000       900000       900000       900000       900000       0.3644       900000       900000         2963
   13.35       900000       900000       900000       900000       900000       900000       0.3635       900000       900000         2981
    13.4       900000       900000       900000       900000       900000       900000       0.3634       900000       900000         2995
   13.45       900000       900000       900000       900000       900000       900000       0.3625       900000       900000         2998
    13.5       900000       900000       900000       900000       900000       900000       0.3607       900000       900000         3023
   13.55       900000       900000       900000       900000       900000       900000       0.3592       900000       900000         3086
    13.6       900000       900000       900000       900000       900000       900000       0.3585       900000       900000         3108
   13.65       900000       900000       900000       900000       900000       900000       0.3581       900000       900000         3092
    13.7       900000       900000       900000       900000       900000       900000       0.3587       900000       900000         3077
   13.75       900000       900000       900000       900000       900000       900000       0.3612       900000       900000         3072
    13.8       900000       900000       900000       900000       900000       900000       0.3643       900000       900000         3070
   13.85       900000       900000       900000       900000       900000       900000       0.3661       900000       900000         3076
    13.9       900000       900000       900000       900000       900000       900000       0.3671       900000       900000         3085
   13.95       900000       900000       900000       900000       900000       900000       0.3678       900000       900000         3077
      14       900000       900000       900000       900000       900000       900000       0.3681       900000       900000         3072
   14.05       900000       900000       900000       900000       900000       900000       0.3676       900000       900000         3070
    14.1       900000       900000       900000       900000       900000       900000       0.3688       900000       900000         3082
   14.15       900000       900000       900000       900000       900000       900000       0.3697       900000       900000         3080
    14.2       900000       900000       900000       900000       900000       900000       0.3702       900000       900000         3065
   14.25       900000       900000       900000       900000       900000       900000       0.3697       900000       900000         3070
    14.3       900000       900000       900000       900000       900000       900000       0.3711       900000       900000         3084
   14.35       900000       900000       900000       900000       900000       900000       0.3728       900000       900000         3079
    14.4       900000       900000       900000       900000       900000       900000       0.3741       900000       900000         3081
   14.45       900000       900000       900000       900000       900000       900000       0.3748       900000       900000         3082
    14.5       900000       900000       900000       900000       900000       900000       0.3756       900000       900000         3096
   14.55       900000       900000       900000       900000       900000       900000       0.3752       900000       900000         3089
    14.6       900000       900000       900000       900000       900000       900000       0.3745       900000       900000         3075
