?rank,rid,costMoney,level,vip,nickname,clubName,combat,topHeroesCombat,online,lastOfflineTime,groupId
51, 428078_1006, 350, 38, 4, 快乐丨, 八神超玩会, 43407, 58540, 0, 2019-12-04 04:38:10, Group_3
52, 427458_1006, 348, 42, 4, 无聊灬浩浩, 鬼族, 45995, 66550, 0, 2019-12-03 22:36:07, Group_4
53, 423422_1006, 340, 41, 4, 魁梧之番番, 风风??飍飍, 44174, 57282, 0, 2019-12-03 15:24:12, Group_2
54, 434852_1006, 340, 40, 4, 纠结之煎蛋, 快快乐乐, 39214, 57600, 0, 2019-12-03 22:45:37, Group_1
55, 428823_1006, 336, 29, 4, 白鬼, 鬼族, 18063, 23003, 0, 2019-11-27 11:26:40, Group_4
56, 180401_1006, 336, 41, 4, 回忆·童年, 八神魔, 50089, 71852, 0, 2019-12-03 21:27:41, Group_2
57, 430528_1006, 332, 31, 4, 霸气欧巴, 0, 14390, 19068, 0, 2019-11-28 13:05:58, Group_1
58, 424141_1006, 330, 42, 4, 羞涩X冰女, 千鹤乱舞, 48145, 70733, 0, 2019-12-04 00:12:55, Group_1
59, 422034_1006, 324, 40, 4, 郁闷之欧巴, 高数, 36828, 56656, 0, 2019-12-03 22:42:31, Group_4
60, 435360_1006, 320, 41, 4, 未来灬耳朵, 名人堂, 49680, 72210, 0, 2019-12-03 21:04:21, Group_1
61, 432049_1006, 318, 39, 4, 丶宸宸, 刚刚, 40470, 61483, 0, 2019-12-03 21:28:15, Group_1
62, 109665_1006, 318, 41, 4, 优秀丶汉子, 高数, 40767, 58125, 0, 2019-12-03 22:51:50, Group_4
63, 428669_1006, 312, 36, 4, 霸气灬肥皂, 咔咔咔, 32849, 45045, 0, 2019-12-02 10:09:36, Group_4
64, 429241_1006, 308, 42, 4, 米九, 八神超玩会, 52544, 78363, 0, 2019-12-03 18:17:56, Group_3
65, 423383_1006, 306, 30, 4, 希斯莱杰丶, 0, 21883, 28822, 0, 2019-11-27 18:00:01, Group_1
66, 429367_1006, 306, 40, 4, 智慧丨天机, 冷眸, 36506, 56612, 0, 2019-12-04 01:36:49, Group_1
67, 421208_1006, 306, 41, 4, 少王, 名人堂, 47801, 71683, 0, 2019-12-04 03:24:02, Group_1
68, 433631_1006, 306, 42, 4, 强劲之美人, 名人堂, 51718, 79399, 0, 2019-12-03 21:45:24, Group_1
69, 431476_1006, 304, 40, 4, 文艺X小羚, 狼王兄弟军团, 43858, 56314, 0, 2019-12-03 21:11:47, Group_3
70, 426122_1006, 304, 42, 4, 褚橙, RAT, 54188, 77443, 0, 2019-12-04 01:09:58, Group_1
71, 430133_1006, 300, 42, 4, 死肥猫, 刚刚, 54420, 80226, 0, 2019-12-03 23:46:57, Group_1
72, 435022_1006, 294, 39, 4, 冰封的心, 神話, 36923, 56817, 0, 2019-12-03 11:25:19, Group_2
73, 436065_1006, 282, 41, 4, 南宫世子, 兄弟团, 47028, 60945, 0, 2019-12-04 01:40:06, Group_1
74, 12255_1006, 282, 39, 4, 气愤蜀黍, 强撸, 40432, 58165, 0, 2019-12-02 16:16:42, Group_4
75, 432393_1006, 280, 43, 4, 一轮江明月, 高数, 54484, 78366, 0, 2019-12-03 21:48:56, Group_4
76, 421225_1006, 268, 41, 4, 腼腆X宅男, *坤, 46140, 67074, 0, 2019-12-04 01:12:35, Group_4
77, 432836_1006, 264, 40, 4, 围观丨燕燕, 嘻嘻, 38802, 52912, 0, 2019-12-04 00:51:04, Group_1
78, 417620_1006, 264, 43, 4, 威武X红风, 高数, 56161, 77156, 0, 2019-12-04 00:11:04, Group_4
79, 426213_1006, 260, 41, 4, 火暴_大魔王, 洗洗睡, 43682, 63591, 0, 2019-12-03 15:45:36, Group_2
80, 409414_1006, 260, 40, 4, 柳修为, 高数, 44085, 57465, 0, 2019-12-04 00:09:29, Group_4
81, 431107_1006, 260, 42, 4, 胆大之基友, 八神超玩会, 50142, 73526, 0, 2019-12-04 01:06:01, Group_3
82, 435979_1006, 260, 41, 4, 强壮_大蛇, 快快乐乐, 45713, 64389, 0, 2019-12-03 22:04:32, Group_1
83, 427633_1006, 258, 41, 3, 丶猴子, 白竹, 36685, 54181, 0, 2019-12-04 00:25:43, Group_3
84, 430491_1006, 254, 41, 4, 傲慢八神, 鬼族, 41823, 57841, 0, 2019-12-03 22:39:15, Group_4
85, 423515_1006, 244, 30, 3, 傲慢X榴莲, 千鹤乱舞, 22176, 30722, 0, 2019-11-27 21:55:51, Group_1
86, 432076_1006, 234, 39, 3, 逸尘丿, 大蛇无双, 32714, 52986, 0, 2019-12-03 22:16:08, Group_2
87, 431402_1006, 232, 42, 3, _菜鸟, 小乐乐, 51637, 75119, 0, 2019-12-03 23:27:56, Group_1
88, 423219_1006, 232, 39, 3, 柔弱X小美女, 水花兄弟, 38667, 51793, 0, 2019-12-03 21:02:01, Group_1
89, 434466_1006, 226, 30, 3, 凶悍的基友, Hakuna, 18112, 22028, 0, 2019-11-28 11:41:36, Group_4
90, 359925_1006, 222, 43, 3, 勇猛_熊猫, 八神超玩会, 56379, 83307, 0, 2019-12-03 23:48:03, Group_3
91, 435998_1006, 220, 32, 3, 火神草薙京, 天哦zuou, 8739, 11671, 0, 2019-12-01 07:45:50, Group_1
92, 366870_1006, 220, 42, 3, 茉莉, 玉天宗, 51548, 73275, 0, 2019-12-03 21:13:38, Group_2
93, 435377_1006, 220, 42, 3, 霜之哀伤, 高数, 52796, 69686, 0, 2019-12-03 22:20:38, Group_4
94, 433905_1006, 214, 40, 3, 。伟大^O^的, 名人堂, 42096, 60829, 0, 2019-12-03 22:20:51, Group_1
95, 433701_1006, 208, 40, 3, 秋泪, 刚刚, 41276, 56131, 0, 2019-12-03 22:32:14, Group_1
