         MD LLA(mA)   LLS(ohm*m)  MSFL(ohm*m)    LLD(ohm*m)  AR(ohm*m)   devi(deg)   Azi(deg)    GR(API)     GPA(pA/kg)  SP(mV)
        12.6        45        6658        66.5556   6655.5557      3.8232        0.52       245.1     52.6667      0.8901    -21.6667
       12.65        46        6508        65.1087   6510.8696      3.8136         0.5       245.5     53.2222      0.8995    -18.7778
        12.7        46        6469         65.087   6508.6958      3.8135        0.49       246.7     53.7222      0.9079         -16
       12.75        47        6246        63.5745   6357.4468      3.8033        0.48       248.8     53.9444      0.9117    -13.6667
        12.8        48        6247        62.1042    6210.417      3.7931        0.47         253     54.1667      0.9154    -11.7778
       12.85        47        6352        63.5106    6351.064      3.8028        0.47       256.2     54.0556      0.9135    -10.7778
        12.9        47        6203        63.4681   6346.8086      3.8026        0.45       258.9     53.3889      0.9023    -10.7778
       12.95        48        6197             62        6200      3.7924        0.43       259.2     52.4444      0.8863    -11.5557
          13        48        6193        61.9583    6195.833      3.7921        0.43       258.7     51.5556      0.8713    -13.1111
       13.05        48        6190        61.9167    6191.667      3.7918        0.44       258.6     50.7222      0.8572    -15.1111
        13.1        48        6362        61.8958    6189.583      3.7917        0.44       258.4     49.7222      0.8403         -18
       13.15        46        6467        64.7391   6473.9126      3.8112        0.45       257.3     48.8889      0.8262    -21.2222
        13.2        46        6458        64.6304    6463.043      3.8104        0.44       254.9     48.5556      0.8206    -24.7778
       13.25        46        6406        64.5217   6452.1738      3.8097        0.42       252.7     48.6667      0.8225    -29.1111
        13.3        48        5422        61.7292    6172.917      3.7905        0.43       251.6          49      0.8281    -34.5557
       13.35        66        2884        45.1667    4516.667      3.6548        0.43       248.5          50       0.845    -40.8916
        13.4       143        1870        20.9441   2094.4055      3.3211        0.43       243.4     51.2778      0.8666     -47.811
       13.45       152        2340        19.7237   1972.3684       3.295        0.46       239.7     52.3333      0.8844    -55.7778
        13.5        98        6119        30.8469   3084.6938      3.4892        0.49       237.5     53.2222      0.8995    -63.9495
       13.55        36        8612        85.7222   8572.2217      3.9331        0.49       235.8     54.0556      0.9135    -70.9016
        13.6        37        8269             84        8400      3.9243        0.45       233.1          55      0.9295    -72.1624
       13.65        38        7799        81.3684   8136.8423      3.9105        0.44       229.2     55.8889      0.9445    -71.1069
        13.7        40        7686         76.925   7692.5005      3.8861        0.44       225.7     56.5556      0.9558    -69.6667
       13.75        40        7673           76.8   7680.0005      3.8854        0.43       224.3     57.0556      0.9642    -66.6667
        13.8        40        7685          76.75        7675      3.8851        0.43       225.2     57.3333      0.9689    -59.7019
       13.85        40        7799           76.9        7690      3.8859        0.42       224.9     57.6667      0.9746    -51.8491
        13.9        39        7902        79.1026   7910.2563      3.8982        0.41       224.1     58.1667       0.983    -46.2883
       13.95        39        7686        78.8974   7889.7437      3.8971        0.41       224.9     58.7222      0.9924    -40.4985
          14        40        7671           76.8   7680.0005      3.8854        0.43       225.6     59.2778      1.0018    -35.1111
       14.05        40        7695          76.75        7675      3.8851        0.44       223.3        59.5      1.0055    -30.7778
        14.1        40        7701          77.05   7705.0005      3.8868        0.43       219.5     59.3333      1.0027         -28
       14.15        40        7634             77        7700      3.8865        0.43       216.7     58.7778      0.9933    -26.2222
        14.2        41        7381        74.7561   7475.6094      3.8736        0.44         216     58.2778      0.9849    -25.1111
       14.25        41        7951        74.8781   7487.8052      3.8744        0.43       216.7     57.9444      0.9793    -24.5557
        14.3        38        8056        81.1579     8115.79      3.9093        0.42       219.6     57.3333      0.9689    -24.1111
       14.35        39        8000        78.9487   7894.8716      3.8973        0.44       222.6     56.4444      0.9539    -24.1111
        14.4        38        8159        81.0789    8107.895      3.9089        0.46       225.8     55.5556      0.9389    -24.8889
       14.45        37        8578        83.2973   8329.7295      3.9206        0.49       228.8     54.6667      0.9239    -25.8889
        14.5        35        8843        88.4571   8845.7148      3.9467        0.51       231.9          54      0.9126    -26.8889
       14.55        36        8492        85.8056   8580.5557      3.9335        0.54       236.9     53.6667       0.907    -27.8889
